,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,Torque / Fill Volume
42,500,0.09,25.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,8.06,,,,8.06,8.06,29.9303858,38.96824293,0.7567301261875073,268108.56227476115,0.0060124898150324705,30062.449075162353
43,700,0.09,25.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,3.09,,,,3.09,3.09,23.70618882,18.97481313,0.5993637160929438,212353.83479568167,0.0029102370606804194,14551.185303402097
44,900,0.09,25.0,25.0,18.0,25,20,60,12,40.0,0.0083,1.46,1520,2,3.0,,,2.5,,,,2.5,2.5,21.36315492,33.08616238,0.5401247757512991,191365.55036501368,0.0026128004703369653,13064.002351684827
45,500,0.1,10.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,2.48,,,,2.48,2.48,30.5171033,30.89422102,0.3086256433231302,109345.6896309485,0.004536072721970518,22680.36360985259
46,700,0.1,10.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,2.21,,,,2.21,2.21,28.457624699999997,21.51159092,0.28779771933615,101966.38152351155,0.004334762040154216,21673.810200771077
47,900,0.1,10.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,2.07,,,,2.07,2.07,26.51334043,25.19749198,0.26813477892752374,94999.82567934152,0.0043579027333944635,21789.513666972318
48,500,0.1,17.5,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,4.84,,,,4.84,4.84,28.88126812,43.29893858,0.5111436942530819,181097.5884790488,0.005345184373407534,26725.921867037672
49,700,0.1,17.5,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,2.78,,,,2.78,2.78,25.23565209,35.11395817,0.4466232016742936,158238.0565218501,0.0035136933062826473,17568.466531413236
50,900,0.1,17.5,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,2.35,,,,2.35,2.35,23.03439585,14.69663758,0.40766513924309145,144435.26243981317,0.0032540530065907633,16270.265032953817
51,500,0.1,25.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,1520,2,3.0,,,6.22,,,,6.22,6.22,26.37704486,34.38680137,0.6668909855936886,236278.66415512355,0.0052649696681173,26324.8483405865
