,RPM ,L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Torque,Torque_imp,MRT_imp,DetTorque,DetMRT
61,200.0,0.55,0.0986,25.0,24.0,12.0,40.0,60.0,0.0,50.0,0.001,1.379,290.0,0.0,0.0,,,1.7,53.3,,
62,200.0,1.22,0.09815,25.0,24.0,12.0,40.0,60.0,0.0,50.0,0.001,1.379,290.0,0.0,0.0,,,1.84,20.1,,
63,200.0,0.76,0.0992,25.0,24.0,12.0,40.0,60.0,0.0,50.0,0.001,1.379,290.0,0.0,0.0,,,3.98,38.19444444,,
64,85.0,0.59,0.051,25.0,24.0,12.0,40.0,60.0,0.0,50.0,0.001,1.379,290.0,0.0,0.0,,,1.65,30.75,,
65,72.0,1.12,0.05325,25.0,24.0,12.0,40.0,60.0,0.0,50.0,0.001,1.379,290.0,0.0,0.0,,,4.84,25.35,,
66,50.0,0.48,0.0498,25.0,24.0,12.0,40.0,60.0,0.0,50.0,0.001,1.379,290.0,2.0,24.0,,,2.46,5.45,,
67,200.0,0.5,0.09505,25.0,8.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,24.0,,,2.45,2.65,,
68,58.0,1.2,0.08199999999999999,25.0,8.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,24.0,,,2.25,38.19444444,,
69,200.0,0.66,0.04965,25.0,8.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,24.0,,,1.56,9.5,,
70,50.0,0.54,0.06145,25.0,8.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,24.0,,,1.09,17.0,,
71,200.0,1.22,0.09738,25.0,8.0,12.0,40.0,60.0,12.0,50.0,0.001,1.379,290.0,2.0,24.0,,,2.18,47.05,,
72,200.0,0.111111111,1.62,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,39.2,,2.39,39.2,,
73,200.0,0.10957004199999999,4.3260000000000005,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,34.7,,2.02,34.7,,
74,500.0,0.10946745599999999,4.056,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,25.5,,4.9,25.5,,
75,500.0,0.10987791300000001,10.812000000000001,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,21.3,,1.61,21.3,,
76,350.0,0.109677419,1.86,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,42.6,,1.6,42.6,,
77,350.0,0.11025280900000001,8.544,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,22.3,,3.98,22.3,,
78,138.0,0.111111111,2.052,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,46.7,,1.93,46.7,,
79,562.0,0.109834889,8.357999999999999,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,16.9,,2.38,16.9,,
80,350.0,0.109573241,5.202000000000001,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,25.9,,1.09,25.9,,
81,350.0,0.109573241,5.202000000000001,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,27.6,,6.22,27.6,,
82,350.0,0.109573241,5.202000000000001,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,26.1,,2.8,26.1,,
83,350.0,0.111111111,1.1340000000000001,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,53.3,,2.38,53.3,,
84,350.0,0.109350238,3.786,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,26.2,,2.38,26.2,,
85,350.0,0.109601449,6.624,35.0,38.0,16.0,40.0,60.0,12.0,27.0,0.1,1.2,1602.0,2.0,8.5,22.9,,6.22,22.9,,
86,500.0,0.08,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,1.4,1.4,3.0,,
87,700.0,0.08,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,1.53,1.53,29.86111111,,
88,900.0,0.08,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,1.56,1.56,16.45,,
89,500.0,0.08,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,2.02,2.02,9.45,,
90,700.0,0.08,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,1.52,1.52,53.47222222,,
91,900.0,0.08,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,1.61,1.61,9.5,,
92,500.0,0.08,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,3.18,3.18,16.55,,
93,700.0,0.08,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,1.1,1.1,16.9,,
94,900.0,0.08,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0103,1.46,1520.0,1.0,0.0,,1.16,1.16,25.5,,
95,500.0,0.09,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,1.6,1.6,9.5,,
96,700.0,0.09,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,1.85,1.85,12.4,,
97,900.0,0.09,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,1.87,1.87,9.45,,
98,500.0,0.09,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,2.46,2.46,41.66666667,,
99,700.0,0.09,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,1.83,1.83,22.91666667,,
100,900.0,0.09,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,1.82,1.82,16.55,,
101,500.0,0.09,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,2.98,2.98,14.2,,
102,700.0,0.09,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,1.4,1.4,26.2,,
103,900.0,0.09,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0083,1.46,1520.0,1.0,0.0,,1.28,1.28,2.7,,
104,500.0,0.1,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,1.93,1.93,12.3,,
105,700.0,0.1,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,1.82,1.82,39.58333333,,
106,900.0,0.1,10.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,1.68,1.68,9.45,,
107,500.0,0.1,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,2.45,2.45,38.19444444,,
108,700.0,0.1,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,1.84,1.84,4.8611111110000005,,
109,900.0,0.1,17.5,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,1.55,1.55,25.35,,
110,500.0,0.1,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,3.46,3.46,39.2,,
111,700.0,0.1,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,1.86,1.86,47.05,,
112,900.0,0.1,25.0,25.0,19.0,25.0,20.0,60.0,6.0,40.0,0.0069,1.46,1520.0,1.0,0.0,,1.24,1.24,20.1,,
113,500.0,0.08,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,2.39,2.39,11.5,,
114,700.0,0.08,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,2.43,2.43,6.25,,
115,900.0,0.08,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,2.39,2.39,25.9,,
116,500.0,0.08,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,0.3,0.3,11.5,,
117,700.0,0.08,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,0.93,0.93,30.75,,
118,900.0,0.08,17.5,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,1.09,1.09,25.9,,
119,500.0,0.08,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,3.9,3.9,5.45,,
120,700.0,0.08,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,2.2,2.2,22.3,,
121,900.0,0.08,25.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0103,1.46,1520.0,2.0,3.0,,2.61,2.61,46.52777778,,
122,500.0,0.09,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,2.51,2.51,27.8,,
123,700.0,0.09,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,2.33,2.33,2.65,,
124,900.0,0.09,10.0,25.0,18.0,25.0,20.0,60.0,12.0,40.0,0.0083,1.46,1520.0,2.0,3.0,,2.18,2.18,46.52777778,,
