,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,tot vol,Lalith fill level,Torque / Fill Volume
48,500,0.1,17.5,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,4.84,,,,4.84,4.84,28.88126812,43.29893858,0.523306103,423489.74536639114,0.0022857696333650635,354298.7824,0.5540628638641236,11428.848166825317
49,700,0.1,17.5,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,2.78,,,,2.78,2.78,25.23565209,35.11395817,0.511413409,370033.60909724946,0.0015025662165024482,354298.7822,0.48412478324598074,7512.831082512241
50,900,0.1,17.5,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,2.35,,,,2.35,2.35,23.03439585,14.69663758,0.482962734,337756.30601310154,0.0013915358251868396,354298.7822,0.4418955316990729,6957.679125934198
51,500,0.1,25.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,6.22,,,,6.22,6.22,26.37704486,34.38680137,0.749488838,552528.5684858274,0.0022514672922870032,354298.7821,0.7228877779723862,11257.336461435016
52,700,0.1,25.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,3.63,,,,3.63,3.63,22.26179037,36.29328837,0.740190536,466324.9894123157,0.0015568541606893911,354298.7825,0.6101053495443145,7784.270803446956
53,900,0.1,25.0,25.0,18.0,25,20,60,12,40.0,0.0069,1.46,650,2,3.0,,,2.18,,,,2.18,2.18,19.15670163,18.15758075,0.714348766,401281.68203502137,0.0010865185716649498,354298.7823,0.5250074656995025,5432.59285832475
54,400,0.3,2.0,25.0,25.0,16,25,0,0,55.415,0.001,1.26,650,0,0.0,,,,,0.1049,C,2.492405408,3.6829147260000004,35.41631875,21.00893355,0.267509004,64715.94223248703,0.0077026010037719184,126592.7601,0.25685029674423265,38513.00501885959
55,400,0.3,3.5,25.0,25.0,16,25,0,0,55.415,0.001,1.26,650,0,0.0,,,,,0.0607,C,3.1439973039999995,1.9590250219999998,27.10561382,29.38902143,0.303953219,86677.2564205205,0.007254491971334872,126592.76,0.3440122829797988,36272.45985667436
56,400,0.3,5.0,25.0,25.0,16,25,0,0,55.415,0.001,1.26,650,0,0.0,,,,,0.0404,C,4.613971955,4.301706058,12.061480300000001,23.59265277,0.376035634,55099.6044960969,0.016747749814889655,126592.7598,0.21868413372505838,83738.74907444828
57,400,0.3,2.0,25.0,25.0,16,25,0,0,55.415,0.015,1.26,650,0,0.0,,,,,0.0709,C,2.632837803,1.962318529,42.08227404,32.03241117,0.298298874,76896.58642978892,0.0068477364867267155,126592.7599,0.3051939037240035,34238.68243363358
